id,Giocatore_Supa,Giocatore_TM,detentore_cartellino,Club_Supa,Club_TM,name_clean,nome_clean
182,Rowe,Jonathan Rowe,Diablitos FC,Bologna,Bologna Football Club 1909,jonathan rowe,rowe
217,Da Cunha,Lucas Da Cunha,AC Ciaccati,Como,Calcio Como,lucas da cunha,da cunha
354,Bella-Kotchap,Armel Bella-Kotchap,Svincolato,Verona,Verona Hellas Football Club,armel bella-kotchap,bella-kotchap
124,Vranckx,Aster Vranckx,FC Sovescio,Sassuolo,Unione Sportiva Sassuolo Calcio,aster vranckx,vranckx
181,Lorran,Lorran,FC Pontos,Pisa,Pisa Sporting Club,lorran,lorran
157,Ondrejka,Jacob Ondrejka,Svincolato,Parma,Parma Calcio 1913,jacob ondrejka,ondrejka
132,Belahyane,Reda Belahyane,Svincolato,Lazio,Società Sportiva Lazio S.p.A.,reda belahyane,belahyane
193,Payero,Martín Payero,Svincolato,Cremonese,Unione Sportiva Cremonese S.p.A.,martin payero,payero
168,Musah,Yunus Musah,Svincolato,Atalanta,Atalanta Bergamasca Calcio S.p.a.,yunus musah,musah
169,Bondo,Warren Bondo,FC Sovescio,Cremonese,Unione Sportiva Cremonese S.p.A.,warren bondo,bondo
161,Ferguson,Lewis Ferguson,Diablitos FC,Bologna,Bologna Football Club 1909,lewis ferguson,ferguson
187,Zerbin,Alessio Zerbin,Svincolato,Cremonese,Unione Sportiva Cremonese S.p.A.,alessio zerbin,zerbin
175,Deiola,Alessandro Deiola,Svincolato,Cagliari,Cagliari Calcio,alessandro deiola,deiola
177,Fabbian,Giovanni Fabbian,CyberDucks,Fiorentina,Associazione Calcio Fiorentina,giovanni fabbian,fabbian
162,Aebischer,Michel Aebischer,ZeroDayz FC,Pisa,Pisa Sporting Club,michel aebischer,aebischer
200,Piotrowski,Jakub Piotrowski,Svincolato,Udinese,Udinese Calcio,jakub piotrowski,piotrowski
188,Pierotti,Santiago Pierotti,AC Ciaccati,Lecce,Unione Sportiva Lecce,santiago pierotti,pierotti
190,Prati,Matteo Prati,Diaolo Porco,Torino,Torino Calcio,matteo prati,prati
206,Fadera,Alieu Fadera,Svincolato,Sassuolo,Unione Sportiva Sassuolo Calcio,alieu fadera,fadera
